"Epic","Feature","Story","FAILED","BROKEN","PASSED","SKIPPED","UNKNOWN"
"","Inicio de sesión y Búsqueda de Participantes","Iniciar sesión con Microsoft y buscar participantes","0","0","2","0","0"
"","Inicio de sesión y Navegación de Equipos","Iniciar sesión con Microsoft y navegar a Equipos y Team Prueba","0","0","3","0","0"
"","Inicio de sesión y Navegación en Ubicaciones","Iniciar sesión con Microsoft y abrir ubicaciones en Google Maps","0","0","2","0","0"
"","Inicio de sesión","Iniciar sesión con Microsoft","0","0","1","0","0"
"","Inicio de sesión y Navegación a Coordinadores Docentes","Iniciar sesión con Microsoft, Navegar a Coordinadores Docentes y seleccionar elementos","0","0","1","0","0"
"","Inicio de sesión y Navegación a Eventos","Iniciar sesión con Microsoft y navegar a varios eventos","0","0","2","0","0"
